Time,Router,Mechanisms,Type,Packets
8,R7,DeepAuC,CacheMisses,795
8,R8,DeepAuC,CacheMisses,795
8,R9,DeepAuC,CacheMisses,795
8,R10,DeepAuC,CacheMisses,795
8,R11,DeepAuC,CacheMisses,795
8,R12,DeepAuC,CacheMisses,795
8,R13,DeepAuC,CacheMisses,795
8,R14,DeepAuC,CacheMisses,795
8,R15,DeepAuC,CacheMisses,795
8,R16,DeepAuC,CacheMisses,795
8,R17,DeepAuC,CacheMisses,795
8,R18,DeepAuC,CacheMisses,795
8,R19,DeepAuC,CacheMisses,795
8,R20,DeepAuC,CacheMisses,795
8,R21,DeepAuC,CacheMisses,795
8,R22,DeepAuC,CacheMisses,795
8,R23,DeepAuC,CacheMisses,795
9,R1,DeepAuC,CacheHits,728
9,R1,DeepAuC,CacheMisses,797
9,R2,DeepAuC,CacheHits,344
9,R2,DeepAuC,CacheMisses,799
9,R3,DeepAuC,CacheHits,344
9,R3,DeepAuC,CacheMisses,799
9,R4,DeepAuC,CacheMisses,885
9,R5,DeepAuC,CacheMisses,888
9,R6,DeepAuC,CacheMisses,890
9,R7,DeepAuC,CacheMisses,888
9,R8,DeepAuC,CacheMisses,890
9,R9,DeepAuC,CacheMisses,890
9,R10,DeepAuC,CacheMisses,890
9,R11,DeepAuC,CacheMisses,885
9,R12,DeepAuC,CacheMisses,890
9,R13,DeepAuC,CacheMisses,890
9,R14,DeepAuC,CacheMisses,885
9,R15,DeepAuC,CacheMisses,885
9,R16,DeepAuC,CacheMisses,885
9,R17,DeepAuC,CacheMisses,888
9,R18,DeepAuC,CacheMisses,888
9,R19,DeepAuC,CacheMisses,890
9,R20,DeepAuC,CacheMisses,888
9,R21,DeepAuC,CacheMisses,890
9,R22,DeepAuC,CacheMisses,890
9,R23,DeepAuC,CacheMisses,890
10,R1,DeepAuC,CacheHits,840
10,R1,DeepAuC,CacheMisses,795
10,R2,DeepAuC,CacheHits,428
10,R2,DeepAuC,CacheMisses,793
10,R3,DeepAuC,CacheHits,428
10,R3,DeepAuC,CacheMisses,793
10,R4,DeepAuC,CacheMisses,900
10,R5,DeepAuC,CacheMisses,900
10,R6,DeepAuC,CacheMisses,900
10,R7,DeepAuC,CacheMisses,900
10,R8,DeepAuC,CacheMisses,900
10,R9,DeepAuC,CacheMisses,900
10,R10,DeepAuC,CacheMisses,900
10,R11,DeepAuC,CacheMisses,900
10,R12,DeepAuC,CacheMisses,900
10,R13,DeepAuC,CacheMisses,900
10,R14,DeepAuC,CacheMisses,900
10,R15,DeepAuC,CacheMisses,900
10,R16,DeepAuC,CacheMisses,900
10,R17,DeepAuC,CacheMisses,900
10,R18,DeepAuC,CacheMisses,900
10,R19,DeepAuC,CacheMisses,900
10,R20,DeepAuC,CacheMisses,900
10,R21,DeepAuC,CacheMisses,900
10,R22,DeepAuC,CacheMisses,900
10,R23,DeepAuC,CacheMisses,900
11,R1,DeepAuC,CacheHits,560
11,R1,DeepAuC,CacheMisses,769
11,R2,DeepAuC,CacheHits,292
11,R2,DeepAuC,CacheMisses,771
11,R3,DeepAuC,CacheHits,292
11,R3,DeepAuC,CacheMisses,771
11,R4,DeepAuC,CacheMisses,844
11,R5,DeepAuC,CacheMisses,839
11,R6,DeepAuC,CacheMisses,835
11,R7,DeepAuC,CacheMisses,839
11,R8,DeepAuC,CacheMisses,835
11,R9,DeepAuC,CacheMisses,835
11,R10,DeepAuC,CacheMisses,835
11,R11,DeepAuC,CacheMisses,844
11,R12,DeepAuC,CacheMisses,835
11,R13,DeepAuC,CacheMisses,835
11,R14,DeepAuC,CacheMisses,844
11,R15,DeepAuC,CacheMisses,844
11,R16,DeepAuC,CacheMisses,844
11,R17,DeepAuC,CacheMisses,839
11,R18,DeepAuC,CacheMisses,839
11,R19,DeepAuC,CacheMisses,835
11,R20,DeepAuC,CacheMisses,839
11,R21,DeepAuC,CacheMisses,835
11,R22,DeepAuC,CacheMisses,835
11,R23,DeepAuC,CacheMisses,835
12,R1,DeepAuC,CacheMisses,674
12,R2,DeepAuC,CacheMisses,675
12,R3,DeepAuC,CacheMisses,675
12,R4,DeepAuC,CacheMisses,675
12,R5,DeepAuC,CacheMisses,674
12,R6,DeepAuC,CacheMisses,671
12,R7,DeepAuC,CacheMisses,674
12,R8,DeepAuC,CacheMisses,671
12,R9,DeepAuC,CacheMisses,671
12,R10,DeepAuC,CacheMisses,671
12,R11,DeepAuC,CacheMisses,675
12,R12,DeepAuC,CacheMisses,668
12,R13,DeepAuC,CacheMisses,668
12,R14,DeepAuC,CacheMisses,675
12,R15,DeepAuC,CacheMisses,675
12,R16,DeepAuC,CacheMisses,675
12,R17,DeepAuC,CacheMisses,674
12,R18,DeepAuC,CacheMisses,674
12,R19,DeepAuC,CacheMisses,668
12,R20,DeepAuC,CacheMisses,674
12,R21,DeepAuC,CacheMisses,671
12,R22,DeepAuC,CacheMisses,671
12,R23,DeepAuC,CacheMisses,668
13,R1,DeepAuC,CacheMisses,625
13,R2,DeepAuC,CacheMisses,625
13,R3,DeepAuC,CacheMisses,625
13,R4,DeepAuC,CacheMisses,625
13,R5,DeepAuC,CacheMisses,625
13,R6,DeepAuC,CacheMisses,626
13,R7,DeepAuC,CacheMisses,625
13,R8,DeepAuC,CacheMisses,626
13,R9,DeepAuC,CacheMisses,626
13,R10,DeepAuC,CacheMisses,626
13,R11,DeepAuC,CacheMisses,625
13,R12,DeepAuC,CacheMisses,626
13,R13,DeepAuC,CacheMisses,626
13,R14,DeepAuC,CacheMisses,625
13,R15,DeepAuC,CacheMisses,625
13,R16,DeepAuC,CacheMisses,625
13,R17,DeepAuC,CacheMisses,625
13,R18,DeepAuC,CacheMisses,625
13,R19,DeepAuC,CacheMisses,624
13,R20,DeepAuC,CacheMisses,625
13,R21,DeepAuC,CacheMisses,626
13,R22,DeepAuC,CacheMisses,626
13,R23,DeepAuC,CacheMisses,626
14,R1,DeepAuC,CacheMisses,671
14,R2,DeepAuC,CacheMisses,670
14,R3,DeepAuC,CacheMisses,670
14,R4,DeepAuC,CacheMisses,670
14,R5,DeepAuC,CacheMisses,671
14,R6,DeepAuC,CacheMisses,674
14,R7,DeepAuC,CacheMisses,671
14,R8,DeepAuC,CacheMisses,674
14,R9,DeepAuC,CacheMisses,674
14,R10,DeepAuC,CacheMisses,674
14,R11,DeepAuC,CacheMisses,670
14,R12,DeepAuC,CacheMisses,677
14,R13,DeepAuC,CacheMisses,677
14,R14,DeepAuC,CacheMisses,670
14,R15,DeepAuC,CacheMisses,670
14,R16,DeepAuC,CacheMisses,670
14,R17,DeepAuC,CacheMisses,671
14,R18,DeepAuC,CacheMisses,671
14,R19,DeepAuC,CacheMisses,679
14,R20,DeepAuC,CacheMisses,671
14,R21,DeepAuC,CacheMisses,674
14,R22,DeepAuC,CacheMisses,674
14,R23,DeepAuC,CacheMisses,677
15,R1,DeepAuC,CacheMisses,655
15,R2,DeepAuC,CacheMisses,656
15,R3,DeepAuC,CacheMisses,656
15,R4,DeepAuC,CacheMisses,656
15,R5,DeepAuC,CacheMisses,655
15,R6,DeepAuC,CacheMisses,653
15,R7,DeepAuC,CacheMisses,655
15,R8,DeepAuC,CacheMisses,653
15,R9,DeepAuC,CacheMisses,653
15,R10,DeepAuC,CacheMisses,653
15,R11,DeepAuC,CacheMisses,656
15,R12,DeepAuC,CacheMisses,650
15,R13,DeepAuC,CacheMisses,650
15,R14,DeepAuC,CacheMisses,656
15,R15,DeepAuC,CacheMisses,656
15,R16,DeepAuC,CacheMisses,656
15,R17,DeepAuC,CacheMisses,655
15,R18,DeepAuC,CacheMisses,655
15,R19,DeepAuC,CacheMisses,648
15,R20,DeepAuC,CacheMisses,655
15,R21,DeepAuC,CacheMisses,653
15,R22,DeepAuC,CacheMisses,653
15,R23,DeepAuC,CacheMisses,650
16,R1,DeepAuC,CacheHits,336
16,R1,DeepAuC,CacheMisses,641
16,R2,DeepAuC,CacheHits,144
16,R2,DeepAuC,CacheMisses,641
16,R3,DeepAuC,CacheHits,144
16,R3,DeepAuC,CacheMisses,641
16,R4,DeepAuC,CacheMisses,677
16,R5,DeepAuC,CacheMisses,683
16,R6,DeepAuC,CacheMisses,688
16,R7,DeepAuC,CacheMisses,683
16,R8,DeepAuC,CacheMisses,688
16,R9,DeepAuC,CacheMisses,688
16,R10,DeepAuC,CacheMisses,688
16,R11,DeepAuC,CacheMisses,677
16,R12,DeepAuC,CacheMisses,691
16,R13,DeepAuC,CacheMisses,691
16,R14,DeepAuC,CacheMisses,677
16,R15,DeepAuC,CacheMisses,677
16,R16,DeepAuC,CacheMisses,677
16,R17,DeepAuC,CacheMisses,683
16,R18,DeepAuC,CacheMisses,683
16,R19,DeepAuC,CacheMisses,693
16,R20,DeepAuC,CacheMisses,683
16,R21,DeepAuC,CacheMisses,688
16,R22,DeepAuC,CacheMisses,688
16,R23,DeepAuC,CacheMisses,691
17,R1,DeepAuC,CacheHits,1608
17,R1,DeepAuC,CacheMisses,684
17,R2,DeepAuC,CacheHits,812
17,R2,DeepAuC,CacheMisses,684
17,R3,DeepAuC,CacheHits,812
17,R3,DeepAuC,CacheMisses,684
17,R4,DeepAuC,CacheMisses,887
17,R5,DeepAuC,CacheMisses,885
17,R6,DeepAuC,CacheMisses,884
17,R7,DeepAuC,CacheMisses,885
17,R8,DeepAuC,CacheMisses,884
17,R9,DeepAuC,CacheMisses,884
17,R10,DeepAuC,CacheMisses,884
17,R11,DeepAuC,CacheMisses,887
17,R12,DeepAuC,CacheMisses,884
17,R13,DeepAuC,CacheMisses,884
17,R14,DeepAuC,CacheMisses,887
17,R15,DeepAuC,CacheMisses,887
17,R16,DeepAuC,CacheMisses,887
17,R17,DeepAuC,CacheMisses,885
17,R18,DeepAuC,CacheMisses,885
17,R19,DeepAuC,CacheMisses,884
17,R20,DeepAuC,CacheMisses,885
17,R21,DeepAuC,CacheMisses,884
17,R22,DeepAuC,CacheMisses,884
17,R23,DeepAuC,CacheMisses,884
18,R1,DeepAuC,CacheHits,1992
18,R1,DeepAuC,CacheMisses,625
18,R2,DeepAuC,CacheHits,988
18,R2,DeepAuC,CacheMisses,625
18,R3,DeepAuC,CacheHits,988
18,R3,DeepAuC,CacheMisses,625
18,R4,DeepAuC,CacheMisses,872
18,R5,DeepAuC,CacheMisses,874
18,R6,DeepAuC,CacheMisses,875
18,R7,DeepAuC,CacheMisses,874
18,R8,DeepAuC,CacheMisses,875
18,R9,DeepAuC,CacheMisses,875
18,R10,DeepAuC,CacheMisses,875
18,R11,DeepAuC,CacheMisses,872
18,R12,DeepAuC,CacheMisses,875
18,R13,DeepAuC,CacheMisses,875
18,R14,DeepAuC,CacheMisses,872
18,R15,DeepAuC,CacheMisses,872
18,R16,DeepAuC,CacheMisses,872
18,R17,DeepAuC,CacheMisses,874
18,R18,DeepAuC,CacheMisses,874
18,R19,DeepAuC,CacheMisses,875
18,R20,DeepAuC,CacheMisses,874
18,R21,DeepAuC,CacheMisses,875
18,R22,DeepAuC,CacheMisses,875
18,R23,DeepAuC,CacheMisses,875
19,R1,DeepAuC,CacheHits,648
19,R1,DeepAuC,CacheMisses,679
19,R2,DeepAuC,CacheHits,348
19,R2,DeepAuC,CacheMisses,679
19,R3,DeepAuC,CacheHits,348
19,R3,DeepAuC,CacheMisses,679
19,R4,DeepAuC,CacheMisses,766
19,R5,DeepAuC,CacheMisses,760
19,R6,DeepAuC,CacheMisses,759
19,R7,DeepAuC,CacheMisses,760
19,R8,DeepAuC,CacheMisses,759
19,R9,DeepAuC,CacheMisses,759
19,R10,DeepAuC,CacheMisses,759
